Samples,Class,1-arachidonoyl-GPA (20:4),1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4),1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),1-stearoyl-2-linoleoyl-GPI (18:0/18:2),2_3-dihydroxyisovalerate,2-hydroxybutyrate/2-hydroxyisobutyrate,2-hydroxyglutarate,2-isopropylmalate,3-hydroxy-2-ethylpropionate,3-hydroxy-3-methylglutarate,3-hydroxybutyrate (BHBA),3-hydroxyisobutyrate,3-methylglutaconate,5-acetylamino-6-amino-3-methyluracil,5-acetylamino-6-formylamino-3-methyluracil,alanine,allantoin,alpha-ketoglutarate,arabitol/xylitol,arabonate/xylonate,asparagine,citrulline,creatine,dihydroorotate,erythritol,erythronate*,ethylmalonate,fructose,fumarate,galactonate,gluconate,glucose,glucuronate,glutarate (pentanedioate),glycerate,glycerophosphoethanolamine,glycerophosphorylcholine (GPC),guanidinoacetate,gulonic acid*,hydantoin-5-propionic acid,imidazole lactate,maleate,malonate,maltose,mannitol/sorbitol,mannose,methylmalonate (MMA),methylsuccinate,myo-inositol,N-acetylalanine,N-acetylaspartate (NAA),N-acetylglutamate,N-acetylserine,N-acetylthreonine,N-delta-acetylornithine,orotate,orotidine,phenylpyruvate,pyruvate,quinate,ribitol,ribonate,salicylate,serine,succinate,threonate,trans-4-hydroxyproline
52,Type:Control,243990.0,675442.0,1062841.0,570474.0,14246624.0,4666094.0,853003.0,143223232.0,51477840.0,1724641.0,2668169.0,9370783.0,244265376.0,0.0,1570549.0,0.0,0.0,4175471.0,4714333.0,90899328.0,2451190.0,16530655.0,67842920.0,34914432.0,8464591.0,2144050.0,4327457.0,371633280.0,121585024.0,47449364.0,8544258.0,1638421.0,13613661.0,2490647808.0,9779150.0,2751037.0,118490040.0,1190673.0,20928300.0,812098.0,11156480.0,1000029.0,4961796.0,4324346.0,37394844.0,1463557.0,3359744.0,17275156.0,5653640.0,2755637.0,31665768.0,23888318.0,8041233.0,831002.0,28702258.0,34927112.0,2096413.0,4749123.0,884487.0,388353.0,42070788.0,0.0,212722.0,20979974.0,4541448.0,68071792.0,184147104.0,960516544.0,4408154.0
54,Type:Control,531935.0,2677126.0,2400588.0,950550.0,15904833.0,3771407.0,0.0,123497144.0,41355944.0,987898.0,3678665.0,13546928.0,223929152.0,0.0,3263550.0,978264.0,0.0,4042656.0,4233379.0,80690640.0,2205967.0,10102042.0,76913576.0,29249616.0,18446884.0,2092874.0,2031114.0,205481056.0,46143660.0,23643638.0,5583957.0,799932.0,12792579.0,2362631680.0,8662038.0,1940489.0,95293960.0,584798.0,7565222.0,839041.0,7666832.0,425746.0,4481601.0,3930384.0,45033832.0,268108.0,13653318.0,31882030.0,7131454.0,1132658.0,30579208.0,17308788.0,6459395.0,802949.0,17080396.0,15791914.0,224200.0,2546925.0,458801.0,385768.0,34776140.0,0.0,0.0,8394825.0,23860786.0,89789936.0,158905504.0,808574080.0,8107469.0
59,Type:Control,540621.0,1454886.0,1778513.0,1117290.0,14453735.0,4288121.0,228420.0,289820544.0,55957232.0,2466402.0,4824193.0,11743026.0,862082112.0,0.0,3769625.0,5771533.0,680128.0,4386280.0,7638362.0,80118952.0,2636511.0,14065191.0,61430172.0,24726278.0,31913828.0,1293853.0,1760515.0,253766688.0,25858240.0,30248684.0,4569212.0,981553.0,17453630.0,1901413888.0,9714042.0,1955875.0,90977984.0,386590.0,6874299.0,916337.0,9397859.0,942288.0,3530079.0,3156946.0,61432960.0,536465.0,2564528.0,38864236.0,8571579.0,1312649.0,26034562.0,21768024.0,6471868.0,883339.0,26567418.0,21567354.0,766879.0,2661661.0,1030603.0,503356.0,29059850.0,32384758.0,303508.0,13137860.0,6824697.0,87642320.0,134941264.0,954082624.0,6833292.0
67,Type:Control,1862824.0,1349251.0,1827643.0,1728336.0,10177898.0,4004376.0,4325459.0,145923440.0,45827880.0,0.0,6038260.0,11097101.0,669805568.0,0.0,4748012.0,828142.0,0.0,1603242.0,4038238.0,63433284.0,2505219.0,17007816.0,52399352.0,20125600.0,10732181.0,2014481.0,380071712.0,565821056.0,31486088.0,27015884.0,7514684.0,0.0,7524525.0,1913160320.0,13143902.0,1167287.0,88540264.0,1144221.0,12447906.0,740134.0,0.0,115635.0,5551734.0,3108764.0,55790304.0,0.0,2720513.0,30932698.0,3700438.0,1181209.0,41830308.0,20197432.0,4825481.0,635527.0,22698520.0,12035367.0,3214011.0,3660802.0,542186.0,330307.0,19241620.0,43541640.0,272765.0,9596550.0,9714559.0,63558800.0,136862304.0,794051328.0,5754145.0
69,Type:Control,327764.0,2206454.0,3022537.0,2092075.0,12416649.0,5112465.0,1113603.0,179420480.0,58343056.0,1462529.0,5989414.0,5597921.0,98621496.0,25614762.0,2362949.0,3005812.0,308043.0,4238323.0,4258303.0,77931184.0,1704686.0,8331355.0,45661104.0,20304964.0,14314598.0,1836355.0,2359041.0,214400432.0,29486496.0,66891088.0,4881826.0,484725.0,12056474.0,2702770176.0,9670577.0,5336955.0,28633268.0,828949.0,6331258.0,836745.0,7619935.0,387159.0,8456754.0,4452062.0,43532520.0,735254.0,7083862.0,36268744.0,6996263.0,984312.0,11937429.0,13784809.0,3710251.0,535936.0,11536191.0,11275421.0,1179097.0,1038108.0,701837.0,838469.0,46483552.0,11295177.0,358795.0,9390973.0,1042408.0,46331152.0,73695280.0,68212968.0,6014869.0
73,Type:Control,1563526.0,1114764.0,2644607.0,1526420.0,8210583.0,5787564.0,588894.0,84240472.0,53399448.0,1981810.0,3389510.0,5738844.0,26295784.0,12908870.0,2416848.0,7932909.0,872060.0,7596669.0,5609998.0,71283536.0,1931933.0,12374654.0,103730496.0,30456914.0,12612710.0,1499579.0,2302905.0,283778912.0,21817506.0,79613040.0,6790688.0,317253.0,9466897.0,2186921472.0,11006341.0,1502333.0,90860976.0,775892.0,7138555.0,1018789.0,5426265.0,803569.0,3981879.0,3358675.0,39139112.0,944713.0,25791624.0,13095387.0,5880259.0,1023798.0,20524890.0,12688092.0,4938514.0,955229.0,17166026.0,11924928.0,1916937.0,1879029.0,845583.0,742721.0,60239428.0,4947673.0,251040.0,11794962.0,7133180.0,78846472.0,82095016.0,740371776.0,14452238.0
75,Type:Control,1243239.0,664697.0,1345248.0,1183219.0,5935319.0,3517755.0,1600507.0,140818384.0,66017784.0,1748127.0,2065067.0,8466929.0,143186688.0,10332730.0,1133038.0,1638633.0,0.0,1904879.0,5977278.0,47898008.0,1473629.0,8966552.0,61484956.0,27656684.0,15377090.0,1640946.0,1313871.0,190933952.0,16772233.0,48390376.0,4388446.0,890317.0,6176303.0,1784184576.0,11436648.0,1474608.0,70481296.0,714440.0,9180046.0,763744.0,3341217.0,550506.0,4914872.0,4084073.0,27350128.0,814884.0,5786168.0,37979552.0,6793237.0,810454.0,17731416.0,12431068.0,2818970.0,722660.0,15152178.0,11481544.0,2544288.0,1707125.0,321494.0,590435.0,25044824.0,1845590.0,67015.0,7658927.0,2179049.0,49462848.0,75466272.0,727027840.0,3451537.0
76,Type:Control,754058.0,2651912.0,2761790.0,2178415.0,11505951.0,4847303.0,17026348.0,48559096.0,61045552.0,1276006.0,6914382.0,13595223.0,16051833.0,7053750.0,1883239.0,2317436.0,434841.0,3687242.0,6651864.0,34442832.0,1371168.0,8773606.0,72812264.0,26817040.0,16496475.0,888258.0,1558550.0,174604432.0,19034354.0,43649280.0,4257246.0,1429254.0,8323855.0,1967817216.0,8102207.0,1167387.0,97311928.0,840872.0,8135075.0,695191.0,5863906.0,0.0,1337658.0,2459953.0,32843982.0,228496.0,2203301.0,15161702.0,4018976.0,967267.0,16700167.0,13331151.0,4342094.0,504005.0,11374522.0,11553288.0,1238679.0,1850809.0,165415.0,208798.0,21328396.0,0.0,133732.0,10298991.0,1056021.0,80631280.0,114827400.0,1066878400.0,4981318.0
79,Type:Control,248286.0,1400373.0,1329467.0,1272855.0,11053646.0,3136859.0,293870.0,140329696.0,29412688.0,1689980.0,3821808.0,5174934.0,32184406.0,22418954.0,3242024.0,484606.0,0.0,4523533.0,8182657.0,27253416.0,2028622.0,12060784.0,60289496.0,25431164.0,7016226.0,1139453.0,1787435.0,199978800.0,18377592.0,44111812.0,3500969.0,7916595.0,9823319.0,1903519360.0,6283418.0,1250171.0,54952128.0,637513.0,9379621.0,939287.0,4652861.0,733905.0,2690569.0,1935598.0,19576266.0,0.0,4217639.0,15341348.0,8015947.0,1062522.0,12352390.0,15318940.0,3335361.0,334643.0,16040405.0,15021408.0,1248489.0,2241155.0,679540.0,459586.0,9788375.0,6424025.0,152212.0,10389043.0,2145707.0,55294136.0,84561248.0,508104928.0,7062344.0
86,Type:Control,84449.0,1459035.0,1319728.0,1219433.0,9050939.0,3685520.0,784033.0,44607532.0,24061852.0,833984.0,1840268.0,6064319.0,11542671.0,4714270.0,1578050.0,2371760.0,0.0,2723927.0,2436220.0,31508586.0,1293454.0,9143732.0,41897156.0,34654136.0,5889667.0,960307.0,1477029.0,194112448.0,8392751.0,25932244.0,3294381.0,649827.0,5774586.0,1736971264.0,7378293.0,6024434.0,72471848.0,333072.0,7358924.0,763243.0,0.0,0.0,3721999.0,1920887.0,28877410.0,462903.0,9143021.0,13158118.0,3856310.0,700746.0,12458944.0,11824322.0,2246188.0,293891.0,9636930.0,9342926.0,290904.0,939576.0,547592.0,370318.0,17974464.0,1451297.0,151713.0,10623489.0,2713004.0,48180872.0,94888616.0,944744512.0,5848592.0
