Samples,Class,1-Methylhistidine,2-Hydroxycinnamic acid,2-Oxindole,3-Phenylpropionitrile,4-Acetamidobutanoic acid,4-Guanidinobutyric acid,4-Hydroxybenzaldehyde,4-Pyridoxic acid,5-Aminovaleric acid,8-Hydroxyquinoline,9-Methyluric acid,Acetylcholine,Acetyl-L-carnitine,Bilirubin,Choline,Cortisol,Creatine,Creatinine,Decanoylcarnitine,D-Erythro-sphingosine 1-phosphate,DL-Arginine,DL-Carnitine,DL-Glutamine,DL-Lysine,DL-Stachydrine,DL-Tryptophan,DL-α-Aminocaprylic acid,D-(+)-Pipecolinic acid,D-(+)-Proline,D-(+)-Pyroglutamic Acid,D-Sphingosine,Hexadecanamide,Hexanoylcarnitine,Hippuric acid,Hypoglycin A,Hypoxanthine,Indole-3-acetic acid,Inosine,L(-)-Carnitine,Leucylproline,L-Histidine,L-Isoleucine,L-Kynurenine,L-(-)-Methionine,L-Norleucine,L(+)-Ornithine,L-Phenylalanine,L-Threonine,L-Tyrosine,L-Tyrosine methyl ester,N8-Acetylspermidine,N-Acetyldopamine,N-Acetyl-L-leucine,N-Acetylornithine,N-Acetylserotonin,Nicotinic acid,Nicotinuric acid,N-Phenylacetylglutamine,Oleamide,Palmitoylcarnitine,Piperine,Pyridoxine,trans-3-Indoleacrylic acid,Trigonelline,Uric acid,Urocanic acid,Valine,α-Aspartylphenylalanine,β-Alanine
D23,Label:TB,0.02,0.13,0.0,0.03,0.09,0.45,0.03,0.0,1.81,0.02,0.08,0.13,0.59,0.03,0.46,0.02,0.28,1.32,0.03,0.02,0.14,3.17,0.11,0.09,1.54,1.09,0.32,0.07,0.88,0.09,0.01,0.47,0.0,0.09,0.0,0.35,0.0,0.03,0.02,0.07,0.01,1.87,0.04,0.26,4.09,0.01,2.28,0.07,0.89,0.01,0.02,0.02,0.06,0.03,0.02,0.0,0.08,0.01,3.16,0.02,0.0,0.0,0.55,0.03,0.05,0.01,0.09,0.01,0.05
D25,Label:TB,0.02,0.09,0.0,0.02,0.07,0.38,0.01,0.02,1.36,0.01,0.02,0.12,0.4,0.01,0.5,0.01,0.1,0.21,0.02,0.01,0.09,2.6,0.02,0.1,0.74,0.68,0.12,0.09,0.77,0.08,0.01,0.23,0.0,0.01,0.0,0.4,0.0,0.02,0.03,0.04,0.01,0.88,0.03,0.15,1.94,0.01,1.38,0.08,0.63,0.01,0.0,0.02,0.06,0.02,0.01,0.09,0.07,0.04,1.61,0.01,0.0,0.0,0.35,0.09,0.02,0.01,0.1,0.01,0.06
D26,Label:TB,0.01,0.09,0.0,0.02,0.05,0.24,0.02,0.0,1.05,0.02,0.02,0.1,0.61,0.02,0.45,0.01,0.21,0.91,0.06,0.02,0.08,2.46,0.15,0.1,0.61,0.99,0.06,0.02,0.62,0.13,0.0,0.62,0.01,0.01,0.0,0.37,0.0,0.06,0.68,0.07,0.02,1.27,0.02,0.23,2.75,0.01,1.85,0.05,0.68,0.0,0.01,0.01,0.06,0.01,0.01,0.0,0.07,0.01,3.08,0.03,0.0,0.0,0.51,0.03,0.06,0.01,0.12,0.02,0.05
D27,Label:TB,0.02,0.12,0.0,0.02,0.09,0.18,0.03,0.0,1.5,0.02,0.04,0.1,0.92,0.03,0.05,0.01,0.05,0.26,0.07,0.01,0.08,2.75,0.12,0.09,2.58,1.03,0.06,0.09,0.93,0.13,0.0,0.35,0.01,0.01,0.01,0.36,0.0,0.04,0.37,0.06,0.03,1.63,0.03,0.28,3.26,0.02,1.71,0.09,0.87,0.0,0.03,0.01,0.08,0.01,0.01,0.01,0.08,0.0,4.12,0.03,0.0,0.0,0.52,0.02,0.15,0.02,0.12,0.01,0.09
D28,Label:TB,0.02,0.06,0.0,0.01,0.05,0.38,0.02,0.0,0.95,0.01,0.03,0.05,0.37,0.0,0.27,0.01,0.35,0.2,0.02,0.0,0.09,1.06,0.11,0.04,1.85,0.66,0.02,0.02,0.69,0.09,0.01,0.21,0.0,0.01,0.01,0.3,0.0,0.06,0.24,0.04,0.01,0.77,0.04,0.12,1.98,0.01,1.37,0.05,0.44,0.0,0.01,0.0,0.14,0.0,0.0,0.01,0.08,0.01,1.23,0.01,0.0,0.0,0.36,0.0,0.05,0.03,0.06,0.02,0.05
D56,Label:TB,0.01,0.07,0.0,0.02,0.11,0.32,0.01,0.02,1.59,0.01,0.04,0.12,0.77,0.03,0.47,0.01,0.09,0.82,0.06,0.02,0.1,1.36,0.11,0.05,1.97,0.71,0.15,0.1,0.57,0.12,0.01,0.48,0.01,0.02,0.01,0.41,0.01,0.03,0.46,0.07,0.05,1.08,0.02,0.37,2.46,0.01,1.28,0.06,0.47,0.0,0.01,0.01,0.1,0.02,0.01,0.06,0.08,0.03,3.42,0.03,0.0,0.0,0.37,0.01,0.05,0.0,0.21,0.03,0.05
D58,Label:TB,0.01,0.08,0.0,0.02,0.05,0.14,0.02,0.0,1.1,0.01,0.04,0.14,1.27,0.02,0.71,0.0,0.19,1.1,0.06,0.02,0.06,3.01,0.14,0.13,0.23,0.6,0.06,0.13,0.55,0.13,0.01,0.28,0.01,0.0,0.0,0.22,0.0,0.0,0.02,0.04,0.03,0.81,0.02,0.21,2.34,0.04,1.6,0.08,0.55,0.0,0.01,0.01,0.04,0.03,0.01,0.01,0.08,0.01,2.5,0.04,0.0,0.0,0.29,0.01,0.23,0.01,0.11,0.04,0.07
D59,Label:TB,0.01,0.13,0.0,0.02,0.07,0.2,0.03,0.0,1.43,0.01,0.02,0.09,0.33,0.04,0.52,0.0,0.15,1.25,0.01,0.01,0.06,2.25,0.17,0.05,0.46,0.75,0.08,0.06,1.01,0.09,0.01,0.45,0.0,0.0,0.0,0.2,0.0,0.02,0.02,0.07,0.01,1.27,0.02,0.23,3.03,0.02,1.81,0.09,0.95,0.01,0.01,0.02,0.05,0.03,0.0,0.14,0.07,0.01,3.11,0.02,0.01,0.0,0.37,0.01,0.03,0.0,0.17,0.02,0.06
DE10,Label:TB,0.01,0.1,0.0,0.03,0.11,0.26,0.02,0.0,1.04,0.02,0.04,0.08,0.21,0.06,0.43,0.01,0.09,1.19,0.04,0.01,0.04,1.57,0.17,0.05,1.48,1.06,0.08,0.06,0.81,0.1,0.0,0.54,0.0,0.0,0.0,0.18,0.0,0.02,0.01,0.08,0.02,0.92,0.03,0.27,2.23,0.0,1.77,0.09,0.69,0.01,0.02,0.02,0.03,0.03,0.01,0.12,0.07,0.01,6.77,0.03,0.0,0.0,0.49,0.01,0.08,0.01,0.06,0.01,0.05
DE11,Label:TB,0.01,0.06,0.0,0.02,0.08,0.24,0.01,0.05,1.21,0.02,0.05,0.11,0.1,0.02,0.45,0.0,0.1,1.12,0.04,0.01,0.05,2.14,0.16,0.05,1.55,0.79,0.08,0.07,0.74,0.11,0.0,0.17,0.01,0.01,0.0,0.18,0.0,0.05,0.49,0.1,0.02,0.86,0.06,0.16,2.35,0.01,1.26,0.07,0.43,0.0,0.01,0.01,0.03,0.03,0.01,0.29,0.07,0.01,1.28,0.02,0.0,0.0,0.37,0.1,0.03,0.01,0.16,0.01,0.06
DE12,Label:TB,0.01,0.1,0.0,0.01,0.07,0.42,0.02,0.02,1.26,0.01,0.06,0.06,0.53,0.01,0.59,0.0,0.39,0.15,0.01,0.01,0.22,1.75,0.15,0.12,1.91,0.61,0.09,0.23,1.26,0.04,0.01,0.25,0.0,0.0,0.0,0.08,0.0,0.01,0.02,0.04,0.09,1.53,0.04,0.25,3.04,0.01,2.0,0.07,0.75,0.01,0.02,0.01,0.03,0.02,0.01,0.05,0.06,0.02,2.69,0.03,0.04,0.0,0.28,0.02,0.03,0.0,0.09,0.0,0.07
DE5,Label:TB,0.01,0.1,0.0,0.02,0.05,0.2,0.02,0.0,1.41,0.01,0.04,0.1,0.12,0.02,0.43,0.01,0.24,1.03,0.04,0.01,0.14,2.47,0.22,0.13,1.69,0.66,0.12,0.01,0.7,0.1,0.0,0.28,0.01,0.0,0.0,0.18,0.0,0.01,0.46,0.06,0.02,1.11,0.02,0.21,2.63,0.01,1.39,0.08,0.72,0.01,0.01,0.02,0.01,0.05,0.01,0.01,0.07,0.03,2.57,0.02,0.01,0.0,0.32,0.02,0.04,0.03,0.16,0.02,0.06
DE51,Label:TB,0.01,0.07,0.01,0.03,0.09,0.41,0.02,0.0,1.46,0.02,0.08,0.13,0.92,0.01,0.73,0.01,0.22,0.88,0.2,0.01,0.08,1.77,0.14,0.14,1.33,0.76,0.28,0.08,0.55,0.08,0.0,0.26,0.02,0.01,0.0,0.19,0.0,0.03,0.46,0.08,0.16,1.3,0.02,0.22,3.21,0.03,1.23,0.06,0.51,0.01,0.03,0.02,0.02,0.05,0.01,0.05,0.07,0.04,2.75,0.02,0.0,0.0,0.36,0.06,0.03,0.0,0.06,0.01,0.04
DE52,Label:TB,0.01,0.07,0.01,0.03,0.13,0.45,0.02,0.0,1.11,0.02,0.07,0.08,0.82,0.04,0.96,0.01,0.36,1.18,0.03,0.01,0.04,1.38,0.09,0.1,1.92,0.71,0.19,0.03,0.6,0.07,0.0,0.13,0.01,0.03,0.0,0.36,0.01,0.03,0.57,0.14,0.02,1.02,0.06,0.18,2.22,0.01,1.42,0.06,0.5,0.01,0.01,0.01,0.06,0.03,0.01,0.07,0.07,0.32,1.13,0.01,0.0,0.0,0.35,0.1,0.03,0.0,0.07,0.01,0.06
DE53,Label:TB,0.02,0.1,0.01,0.02,0.05,0.52,0.02,0.0,1.08,0.02,0.02,0.09,0.68,0.01,0.86,0.01,0.13,0.49,0.04,0.01,0.12,0.99,0.08,0.04,2.63,0.8,0.09,0.08,0.94,0.07,0.0,0.37,0.01,0.04,0.01,0.4,0.0,0.05,0.34,0.11,0.01,1.27,0.04,0.16,2.44,0.03,1.82,0.06,0.73,0.01,0.03,0.01,0.11,0.01,0.01,0.03,0.07,0.1,2.19,0.02,0.0,0.0,0.39,0.01,0.01,0.01,0.1,0.02,0.07
DE54,Label:TB,0.01,0.11,0.0,0.02,0.02,0.39,0.03,0.0,1.3,0.02,0.01,0.12,0.08,0.02,0.9,0.0,0.31,0.31,0.01,0.02,0.15,2.04,0.18,0.17,0.4,0.93,0.07,0.09,1.26,0.11,0.01,0.53,0.0,0.04,0.01,0.15,0.0,0.0,0.65,0.05,0.02,1.14,0.02,0.24,2.71,0.02,1.96,0.11,0.86,0.01,0.01,0.01,0.09,0.02,0.01,0.0,0.07,0.05,5.47,0.01,0.0,0.0,0.46,0.13,0.0,0.01,0.06,0.02,0.1
