Samples,Class,1-Methylhistidine,2-Hydroxycinnamic acid,2-Oxindole,3-Phenylpropionitrile,4-Acetamidobutanoic acid,4-Guanidinobutyric acid,4-Hydroxybenzaldehyde,4-Pyridoxic acid,5-Aminovaleric acid,8-Hydroxyquinoline,9-Methyluric acid,Acetylcholine,Acetyl-L-carnitine,Bilirubin,Choline,Cortisol,Creatine,Creatinine,Decanoylcarnitine,D-Erythro-sphingosine 1-phosphate,DL-Arginine,DL-Carnitine,DL-Glutamine,DL-Lysine,DL-Stachydrine,DL-Tryptophan,DL-α-Aminocaprylic acid,D-(+)-Pipecolinic acid,D-(+)-Proline,D-(+)-Pyroglutamic Acid,D-Sphingosine,Hexadecanamide,Hexanoylcarnitine,Hippuric acid,Hypoglycin A,Hypoxanthine,Indole-3-acetic acid,Inosine,L(-)-Carnitine,Leucylproline,L-Histidine,L-Isoleucine,L-Kynurenine,L-(-)-Methionine,L-Norleucine,L(+)-Ornithine,L-Phenylalanine,L-Threonine,L-Tyrosine,L-Tyrosine methyl ester,N8-Acetylspermidine,N-Acetyldopamine,N-Acetyl-L-leucine,N-Acetylornithine,N-Acetylserotonin,Nicotinic acid,Nicotinuric acid,N-Phenylacetylglutamine,Oleamide,Palmitoylcarnitine,Piperine,Pyridoxine,trans-3-Indoleacrylic acid,Trigonelline,Uric acid,Urocanic acid,Valine,α-Aspartylphenylalanine,β-Alanine
C53,Label:Controls,0.01,0.1,0.0,0.01,0.03,0.07,0.02,0.0,1.62,0.02,0.01,0.15,0.29,0.02,0.47,0.01,0.19,0.32,0.09,0.01,0.08,1.49,0.14,0.12,0.19,1.02,0.01,0.09,1.65,0.02,0.0,0.14,0.01,0.01,0.0,0.21,0.0,0.03,0.8,0.14,0.01,1.41,0.03,0.27,3.05,0.01,1.55,0.04,0.72,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.07,0.01,2.93,0.04,0.0,0.0,0.47,0.46,0.08,0.0,0.11,0.0,0.07
C7,Label:Controls,0.01,0.07,0.0,0.01,0.0,0.02,0.02,0.0,1.49,0.02,0.0,0.11,0.29,0.03,0.39,0.0,0.15,0.22,0.02,0.02,0.03,3.06,0.12,0.09,0.46,0.98,0.0,0.23,1.04,0.21,0.0,0.24,0.0,0.01,0.0,0.22,0.0,0.01,0.02,0.04,0.02,0.76,0.02,0.22,1.97,0.01,1.67,0.03,0.5,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.07,0.03,3.02,0.02,0.01,0.0,0.49,0.1,0.36,0.0,0.15,0.03,0.05
C8,Label:Controls,0.0,0.16,0.0,0.01,0.0,0.0,0.03,0.0,1.92,0.02,0.0,0.13,0.3,0.09,0.39,0.0,0.24,0.26,0.07,0.02,0.11,2.11,0.08,0.05,0.3,1.12,0.0,0.18,0.96,0.19,0.0,0.47,0.01,0.01,0.0,0.2,0.0,0.0,0.01,0.07,0.01,1.04,0.02,0.35,2.81,0.02,1.74,0.03,1.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.08,0.02,3.67,0.03,0.01,0.0,0.55,0.1,0.3,0.0,0.16,0.02,0.06
C9,Label:Controls,0.01,0.18,0.0,0.03,0.06,0.21,0.04,0.0,2.36,0.03,0.01,0.12,0.67,0.06,0.51,0.01,0.21,0.32,0.02,0.01,0.12,2.26,0.11,0.15,1.25,1.62,0.04,0.04,1.43,0.12,0.0,0.12,0.01,0.02,0.0,0.15,0.0,0.03,0.49,0.1,0.01,2.77,0.05,0.44,5.7,0.01,2.68,0.04,1.5,0.01,0.01,0.01,0.0,0.03,0.01,0.0,0.07,0.03,2.76,0.02,0.01,0.0,0.75,0.02,0.02,0.0,0.11,0.0,0.09
C28,Label:LTBI,0.02,0.14,0.0,0.02,0.06,0.1,0.03,0.0,2.65,0.02,0.02,0.14,0.82,0.06,0.44,0.0,0.07,2.41,0.08,0.02,0.06,2.43,0.16,0.07,1.18,1.25,0.02,0.06,1.85,0.14,0.0,0.31,0.01,0.0,0.0,0.1,0.0,0.01,0.62,0.12,0.02,2.34,0.04,0.35,4.44,0.02,1.77,0.05,0.93,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.07,0.01,2.67,0.04,0.0,0.0,0.59,0.07,0.08,0.0,0.11,0.01,0.11
C30,Label:LTBI,0.01,0.1,0.0,0.02,0.03,0.13,0.02,0.0,1.32,0.02,0.01,0.1,0.13,0.01,0.62,0.01,0.3,0.24,0.06,0.02,0.12,2.0,0.12,0.09,0.14,0.92,0.01,0.03,0.82,0.13,0.0,0.33,0.01,0.02,0.0,0.14,0.01,0.01,0.8,0.06,0.01,1.16,0.04,0.21,2.34,0.01,1.71,0.04,0.74,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.08,0.05,2.43,0.05,0.0,0.0,0.45,0.12,0.01,0.01,0.11,0.0,0.09
CE54,Label:LTBI,0.01,0.17,0.0,0.04,0.1,0.26,0.03,0.0,2.37,0.03,0.02,0.08,0.49,0.03,0.57,0.01,0.6,0.36,0.01,0.02,0.07,2.62,0.12,0.12,2.27,1.67,0.1,0.09,1.19,0.08,0.0,0.63,0.0,0.02,0.0,0.22,0.01,0.01,0.6,0.06,0.01,2.15,0.03,0.35,4.05,0.01,2.25,0.07,1.25,0.01,0.0,0.02,0.07,0.02,0.02,0.0,0.07,0.03,3.54,0.02,0.0,0.0,0.8,0.02,0.02,0.01,0.05,0.02,0.08
CE55,Label:LTBI,0.01,0.11,0.01,0.02,0.01,0.22,0.02,0.0,2.26,0.02,0.01,0.12,0.55,0.01,0.68,0.0,0.33,0.31,0.01,0.01,0.07,1.92,0.14,0.13,0.43,1.16,0.02,0.07,1.99,0.09,0.01,0.21,0.0,0.02,0.0,0.16,0.01,0.01,0.81,0.09,0.02,1.67,0.05,0.18,3.57,0.02,2.42,0.05,0.81,0.0,0.01,0.01,0.04,0.0,0.0,0.0,0.07,0.08,2.62,0.02,0.0,0.0,0.54,0.04,0.02,0.01,0.15,0.04,0.08
CE57,Label:LTBI,0.01,0.06,0.0,0.02,0.04,0.21,0.02,0.0,1.44,0.02,0.01,0.1,0.33,0.05,0.59,0.0,0.41,1.47,0.02,0.02,0.08,2.45,0.12,0.08,0.44,1.08,0.01,0.03,1.23,0.09,0.01,0.53,0.0,0.01,0.0,0.16,0.0,0.01,0.66,0.06,0.01,1.04,0.02,0.25,2.63,0.01,1.57,0.06,0.49,0.0,0.01,0.0,0.05,0.01,0.0,0.0,0.07,0.01,3.69,0.02,0.0,0.0,0.53,0.07,0.02,0.0,0.15,0.03,0.08
DE55,Label:LTBI,0.01,0.16,0.0,0.02,0.06,0.13,0.03,0.0,1.73,0.02,0.01,0.11,0.34,0.02,0.42,0.0,0.13,0.28,0.0,0.01,0.15,2.73,0.17,0.08,1.46,1.3,0.02,0.02,1.31,0.19,0.0,0.1,0.0,0.01,0.0,0.14,0.0,0.02,0.62,0.08,0.02,1.68,0.03,0.39,3.5,0.02,2.0,0.06,0.99,0.0,0.01,0.01,0.03,0.0,0.0,0.01,0.08,0.01,0.96,0.01,0.0,0.0,0.65,0.02,0.28,0.01,0.17,0.01,0.09
