database_identifier,Hemostasis,Neurotransmitter release cycle,Transmission across Chemical Synapses,Neuronal System,Metabolism,Synthesis of PC,Glycerophospholipid biosynthesis,Phospholipid metabolism,Phase II - Conjugation of compounds,Signal Transduction,Triglyceride catabolism,Integration of energy metabolism,Disease,Immune System,Cholesterol biosynthesis,Digestion of dietary lipid,Metabolism of vitamins and cofactors,Biological oxidations,Cytochrome P450 - arranged by substrate type,Phase I - Functionalization of compounds,Visual phototransduction,Peptide hormone metabolism,Hydroxycarboxylic acid-binding receptors,Signaling by GPCR,Class A/1 (Rhodopsin-like receptors),Olfactory Signaling Pathway,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",Transport of small molecules,GPCR downstream signalling,Metabolism of proteins,Free fatty acids regulate insulin secretion,"Incretin synthesis, secretion, and inactivation","Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",G alpha (q) signalling events,G alpha (i) signalling events,Regulation of insulin secretion,"Transport of bile salts and organic acids, metal ions and amine compounds","Transport of vitamins, nucleosides, and related molecules",SLC-mediated transmembrane transport,Passive transport by Aquaporins,Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,Free fatty acid receptors,Aquaporin-mediated transport,GPCR ligand binding,Organic cation/anion/zwitterion transport,Metabolism of lipids,SLC transporter disorders,Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS),Disorders of transmembrane transporters,Metabolism of fat-soluble vitamins,Metabolism of amino acids and derivatives,Metabolism of carbohydrates,Transport of fatty acids,Digestion,Metabolism of steroids,Digestion and absorption,Triglyceride metabolism,Sensory Perception,Sensory perception of taste,"Sensory perception of sweet, bitter, and umami (glutamate) taste",Retinoid metabolism and transport,group_type
EM,0.4349588053513666,-0.054208738107789214,-0.054208738107789214,-0.054208738107789214,-0.08662244154605675,0.10386674928916938,0.14393508000018207,0.14393508000018207,0.7528366394991736,-0.31344842902515113,0.4349588053513666,0.5365500594505127,-0.36265424283429687,-0.31388267953008736,-0.31388267953008736,0.4349588053513666,-0.15732526363297777,0.6729792825074962,0.6519081168448944,0.6519081168448944,-0.19459927509981798,0.5109795122611164,0.6001411077706994,-0.3561384385629293,-0.3701947531448728,-0.12638631847251733,-0.45038912749604987,-0.3322199644306831,-0.3561384385629293,0.5109795122611164,0.5365500594505127,-0.45038912749604987,0.5365500594505127,0.4422371160229997,0.6485841357883331,0.5365500594505127,-0.45651686836675714,-0.37540547094797677,-0.4059872613744859,-0.4073785071170947,0.5365500594505127,-0.45038912749604987,-0.4073785071170947,-0.40536808105424527,0.645954651046677,-0.1800513143756523,-0.3317279457432639,-0.3853073456308783,-0.29334591534514914,-0.19459927509981798,-0.4996917202216491,-0.4557955984504847,-0.3853073456308783,0.4349588053513666,-0.31388267953008736,0.4349588053513666,0.4349588053513666,0.33894665060400414,-0.4204331078815593,-0.4204331078815593,-0.19459927509981798,Case
MC,0.585829110683915,0.07385797121429345,0.07385797121429345,0.07385797121429345,-0.25557328775509824,-0.02146028613682381,0.16845864989136292,0.16845864989136292,0.6665815197846043,-0.054348942325237515,0.585829110683915,0.22144847932432704,-0.09542919642452198,0.7150637047532384,0.7150637047532384,0.585829110683915,-0.037429750854636595,0.5430853695858119,0.48245863047707455,0.48245863047707455,0.06938899305029171,0.17859469597912295,0.5081733245799307,-0.08926131025075391,-0.11793033447976026,0.09884288640910235,-0.14064434812512436,-0.08838811486197877,-0.08926131025075391,0.17859469597912295,0.22144847932432704,-0.14064434812512436,0.22144847932432704,0.1427810402170105,0.45379320650466143,0.22144847932432704,-0.421678299711321,-0.0721218121366519,-0.1360335462567693,-0.10874669512994027,0.22144847932432704,-0.14064434812512436,-0.10874669512994027,-0.1551968702406894,0.3867470815849238,0.05325455787405343,-0.0902047041533745,-0.02611472391664814,-0.0549443419964151,0.06938899305029171,-0.36596253370761445,-0.5435949069903085,-0.02611472391664814,0.585829110683915,0.7150637047532384,0.585829110683915,0.585829110683915,0.10976923450795954,-0.6277505336524503,-0.6277505336524503,0.06938899305029171,Case
MM,0.4532804285839166,0.014631476362893272,0.014631476362893272,0.014631476362893272,-0.22407383235729664,0.2707622803574667,0.2823167411860055,0.2823167411860055,0.7894271619856139,-0.2239573640497778,0.4532804285839166,0.4505358979239768,-0.28470775057080416,0.6183411127803999,0.6183411127803999,0.4532804285839166,-0.12751609341216766,0.6811825330037623,0.6491573009297337,0.6491573009297337,-0.07212361099650075,0.31350812107475673,0.41348672362616024,-0.2374417408972261,-0.23107352185274813,-0.09683399814505156,-0.26244664557249087,-0.029564004280827203,-0.2374417408972261,0.31350812107475673,0.4505358979239768,-0.26244664557249087,0.4505358979239768,0.26281138392350334,0.5273156974454462,0.4505358979239768,0.1342973688273973,-0.25440101641387725,-0.034381671822640784,0.759002870023143,0.4505358979239768,-0.26244664557249087,0.759002870023143,-0.27367599588834507,0.4569219931746312,-0.07484676170647857,-0.1693894932310106,-0.22854182881491886,-0.18173644101180672,-0.07212361099650075,0.5533470514864784,-0.5017971016015635,-0.22854182881491886,0.4532804285839166,0.6183411127803999,0.4532804285839166,0.4532804285839166,0.33770786190587426,-0.6278054827728634,-0.6278054827728634,-0.07212361099650075,Case
SA 1,-0.5077440534990846,-0.17272979080926815,-0.17272979080926815,-0.17272979080926815,0.014204868994389578,-0.019060156292826185,-0.4759131905390309,-0.4759131905390309,0.18819265989426973,-0.24525565895271406,-0.5077440534990846,-0.012891956445012301,-0.32943491880278475,0.587162909352539,0.587162909352539,-0.5077440534990846,-0.21231968342859298,-0.24035337682812097,-0.567619832486403,-0.567619832486403,-0.5381011010328137,-0.1448201153056252,0.668296506556772,-0.24920206494048355,-0.1600835153285808,-0.5418999410015602,0.06744165951474825,-0.12567150431782087,-0.24920206494048355,-0.1448201153056252,-0.012891956445012301,0.06744165951474825,-0.012891956445012301,-0.0921230437206171,0.6301745459280667,-0.012891956445012301,0.3130125333888273,-0.27448538573192693,-0.0848349087561182,0.3093255226562255,-0.012891956445012301,0.06744165951474825,0.3093255226562255,-0.19076278538047645,0.5052736399088597,0.07800126472352013,-0.20746371978408112,-0.13507369299202784,-0.21215529054523635,-0.5381011010328137,0.6217629577085272,0.6117459585421057,-0.13507369299202784,-0.5077440534990846,0.587162909352539,-0.5077440534990846,-0.5077440534990846,0.368212897365677,0.5353510737979318,0.5353510737979318,-0.5381011010328137,Case
SA 2,-0.5651400026383252,-0.08604630544963503,-0.08604630544963503,-0.08604630544963503,0.22140491823445071,0.15061030339412929,-0.452389589307187,-0.452389589307187,-0.02507956544220589,-0.2777029924472521,-0.5651400026383252,0.20049088289742348,-0.31262472634172345,0.27570674626945124,0.27570674626945124,-0.5651400026383252,-0.11945723337518643,-0.22600254496887687,-0.2719361096544322,-0.2719361096544322,-0.6110092325609044,-0.03309797013559921,0.3901056091710985,-0.2712920073475092,-0.2068053727836075,-0.4883351071217231,-0.056713586479558646,-0.4012586934514002,-0.2712920073475092,-0.03309797013559921,0.20049088289742348,-0.056713586479558646,0.20049088289742348,-0.007219946734398161,0.3784438910307485,0.20049088289742348,-0.4856087482475428,-0.3328733400971933,-0.41744743596563383,-0.13171067821811186,0.20049088289742348,-0.056713586479558646,-0.13171067821811186,-0.22944643324439432,0.19523949369426208,-0.4891605907080487,-0.2674904582478919,-0.2547528138090077,-0.268716716504243,-0.6110092325609044,-0.45487796550532134,0.5931024278808098,-0.2547528138090077,-0.5651400026383252,0.27570674626945124,-0.5651400026383252,-0.5651400026383252,0.39132224651400377,0.4876153932843285,0.4876153932843285,-0.6110092325609044,Case
SA 3,-0.6031949747913952,-0.201505739110042,-0.201505739110042,-0.201505739110042,0.3091385278621003,0.03409186276781464,-0.5187559381306506,-0.5187559381306506,-0.5330246359173866,-0.32043988923498423,-0.6031949747913952,0.2270895736247,-0.41923952199797704,-0.3946602591047315,-0.3946602591047315,-0.6031949747913952,-0.26626648893526145,-0.5709019026174111,-0.41717726325661864,-0.41717726325661864,-0.6419264041304481,0.010531934724945475,0.3865721390189789,-0.30665038314589543,-0.2362101232254826,-0.5102868249026651,-0.09560203798247764,-0.46929701855801204,-0.30665038314589543,0.010531934724945475,0.2270895736247,-0.09560203798247764,0.2270895736247,0.039281153833975284,0.37464971727705493,0.2270895736247,-0.4947877382972513,-0.4317107150700293,-0.47760206019492274,-0.19447487468991043,0.2270895736247,-0.09560203798247764,-0.19447487468991043,-0.259594696409369,0.18863112158961032,-0.5658293617842094,-0.36803433360269816,-0.35793563618619295,-0.3798757278114625,-0.6419264041304481,-0.4373789625871228,0.5407117246971497,-0.35793563618619295,-0.6031949747913952,-0.3946602591047315,-0.6031949747913952,-0.6031949747913952,0.3988735826025252,0.4809497308934629,0.4809497308934629,-0.6419264041304481,Case
SA 4,-0.39313287596877905,0.2848810677462473,0.2848810677462473,0.2848810677462473,0.21988908151474923,0.28471986112473663,-0.3548427679448172,-0.3548427679448172,-0.35121183698739444,-0.18333082601169104,-0.39313287596877905,0.056001959209866906,-0.15642507512028678,-0.44700203555868884,-0.44700203555868884,-0.39313287596877905,-0.1175024882641287,-0.3367312661531149,-0.07133324962516388,-0.07133324962516388,-0.19984057173001604,-0.21025998966401013,0.663626034480443,-0.1820202645981253,-0.18324866818715463,-0.37097494263786596,0.07203799426599901,-0.2504732571723965,-0.1820202645981253,-0.21025998966401013,0.056001959209866906,0.07203799426599901,0.056001959209866906,-0.12131222431424951,0.6216680337014722,0.056001959209866906,-0.5178535218030961,-0.014464948233496118,-0.2980341426287244,0.02939601376870949,0.056001959209866906,0.07203799426599901,0.02939601376870949,-0.2097271152335888,0.6347043233314068,-0.42996596901390866,-0.08381899453862665,0.05740147475428656,-0.07825215987485558,-0.19984057173001604,-0.3288040533863624,0.6315524532204704,0.05740147475428656,-0.39313287596877905,-0.44700203555868884,-0.39313287596877905,-0.39313287596877905,0.18904390063428808,0.6694010044000566,0.6694010044000566,-0.19984057173001604,Case
SA 5,-0.5322024756813201,0.09163816182800902,0.09163816182800902,0.09163816182800902,0.3667486302042237,-0.3369466582749574,-0.5343278821635139,-0.5343278821635139,-0.3900645125252712,-0.24633150624221145,-0.5322024756813201,-0.1986605314013779,-0.2702301980994813,0.477254672166271,0.477254672166271,-0.5322024756813201,-0.23002075680774522,-0.5195825846313944,-0.5707487878115436,-0.5707487878115436,-0.26907687162302546,-0.17913550473308898,0.6165318884825651,-0.24388953669094307,-0.1663016117199448,-0.5207504458322498,0.12924680340082895,-0.3862678716587216,-0.24388953669094307,-0.17913550473308898,-0.1986605314013779,0.12924680340082895,-0.1986605314013779,-0.14144688155730403,0.5686743939098948,-0.1986605314013779,-0.5953634074907213,-0.2226808327800803,-0.415708052353863,-0.10564753670156644,-0.1986605314013779,0.12924680340082895,-0.10564753670156644,-0.18831350476604256,0.563819251941636,-0.26313315117572655,-0.20253515880938128,-0.10942326431348841,-0.20581409369567497,-0.26907687162302546,-0.43215299320862344,0.6821167402457902,-0.10942326431348841,-0.5322024756813201,0.477254672166271,-0.5322024756813201,-0.5322024756813201,0.2995444050396636,0.43468144409748344,0.43468144409748344,-0.26907687162302546,Case
SA 6,-0.5335486998706394,-0.20830817261062193,-0.20830817261062193,-0.20830817261062193,0.3169314505826751,0.3052271746855836,-0.4170258200341004,-0.4170258200341004,-0.5499328617276565,-0.166383429442945,-0.5335486998706394,-0.28706692058613087,-0.13552203640893012,0.18308090135295918,0.18308090135295918,-0.5335486998706394,-0.007154513927393185,-0.5836760017341275,-0.5834375771133983,-0.5834375771133983,-0.12065660262819118,-0.19450901847472032,0.06960870800186629,-0.14803649899469018,-0.048019547905420186,-0.3621882588453371,0.11017550485505452,-0.2938248353951919,-0.14803649899469018,-0.19450901847472032,-0.28706692058613087,0.11017550485505452,-0.28706692058613087,-0.12371335529927317,0.08947259632504609,-0.28706692058613087,-0.281970507838918,-0.2313636857432908,-0.2861601603748249,-0.11874088085937858,-0.28706692058613087,0.11017550485505452,-0.11874088085937858,-0.06548328310648069,-0.2930146881287701,-0.40854099848233016,-0.0775569534324783,-0.11535278398244554,-0.1021408465834645,-0.12065660262819118,-0.34069887841994934,0.5578015508335529,-0.11535278398244554,-0.5335486998706394,0.18308090135295918,-0.5335486998706394,-0.5335486998706394,0.11320534168904307,0.2202289148576899,0.2202289148576899,-0.12065660262819118,Case
SA 7,-0.2404796460102625,0.11477252938856258,0.11477252938856258,0.11477252938856258,0.19366493899480752,0.034182348227969804,-0.3290834919528418,-0.3290834919528418,0.7701788372070695,-0.2522274800307456,-0.2404796460102625,0.3014858436814147,-0.2689920433117712,0.5962882663761462,0.5962882663761462,-0.2404796460102625,-0.4798149609097913,0.5268276412819868,-0.1282521774224424,-0.1282521774224424,-0.5259307027700624,-0.017983136794420495,0.642950530485921,-0.2726250526970432,-0.18552528420065026,-0.5323464601400754,0.010552070063475043,-0.3480161632903858,-0.2726250526970432,-0.017983136794420495,0.3014858436814147,0.010552070063475043,0.3014858436814147,0.009372638209788387,0.6530531258187245,0.3014858436814147,-0.49733130632084677,-0.2014212684015386,-0.3447010389046451,-0.31926049004860035,0.3014858436814147,0.010552070063475043,-0.31926049004860035,-0.21823228567381747,0.6783843533745395,-0.37413658747401546,-0.1845039517557586,-0.11908527358287406,-0.17767507776444136,-0.5259307027700624,-0.3436675799858994,0.3666032450698938,-0.11908527358287406,-0.2404796460102625,0.5962882663761462,-0.2404796460102625,-0.2404796460102625,0.5592931165174669,-0.26739173933986327,-0.26739173933986327,-0.5259307027700624,Case
