database_identifier,group_type,CHEBI:15428,CHEBI:15603,CHEBI:15891,CHEBI:15971,CHEBI:16015,CHEBI:16283,CHEBI:16414,CHEBI:16467,CHEBI:16643,CHEBI:16737,CHEBI:16828,CHEBI:16857,CHEBI:16977,CHEBI:17115,CHEBI:17126,CHEBI:17191,CHEBI:17196,CHEBI:17203,CHEBI:17295,CHEBI:17895,CHEBI:18019,CHEBI:18050,CHEBI:18102,CHEBI:18211,CHEBI:18257,CHEBI:20392,CHEBI:28683,CHEBI:28867,CHEBI:57589,CHEBI:73025,CHEBI:7676
METAB01_Smpl_51,Case,0.9077382799541308,1.530815229317572,1.0137081808459771,-0.4540787144042852,1.5875137274055384,-0.49784532005168597,1.6356615544118753,1.1096407276022962,0.5010943133287832,0.4529117983311157,-0.4083046380841146,-0.3805364691448984,1.1764253857530154,1.3706179618753482,1.4682110245342554,-0.3612157286456173,-0.002030729819183299,-0.8770538875671412,2.94997137239853,1.27322442724631,0.10400075867852063,-0.33403207572800736,2.063749083801416,-1.7764731077839533,0.06104312817619977,-0.7933607120442928,3.184005243491344,0.5731205049457883,1.3576130823230126,1.5480802545092467,0.5353655286966822
METAB01_Smpl_37,Case,-0.2965732419097328,0.07679504586369172,-0.9575909665901409,-1.2938158034357856,0.15025919951708516,0.4242431155794136,-1.3242916596271856,-2.355612909954441,-1.1723869604066497,-2.263220098107045,-1.7213129833972107,0.005035602699180282,0.4056907713351229,0.6623985178400569,-1.9109967390735865,-1.1413905460565115,-0.7505164335165818,-1.5393606343770319,-0.5316524461292169,-1.2223265360745492,-1.7001173967732213,-0.8448645078499811,-0.6003104507522795,-2.0808193477531547,-0.5977169768398781,-0.6519530859731936,-0.4644504925879979,-1.6597943535927033,-0.39741530488927496,-1.0694853137330802,-0.5309299712087955
METAB01_Smpl_36,Case,0.46252038062125334,0.471204455913611,-0.057114901819028834,-0.39487766950906533,-0.45041763760220666,0.48952172275872463,-0.8288926041946582,-0.03030939011147321,0.23137394694687427,-1.9156820853564234,-0.41373866639982654,0.4630329998143052,1.9765024848191461,0.8210715527861121,-1.2224605460334064,-0.8270587705889871,0.35347682593640467,0.3926166701225107,-0.10493765435413427,-0.2738586606834728,-0.7135651490656439,-0.47544410317009933,-0.4189318563913551,-1.6589293123018996,-0.9141449522800478,-0.1405587282378704,-0.9661080646339828,-1.2851400966801814,-1.239320972216652,-0.9983578126238003,-1.2003014876771267
METAB01_Smpl_07,Case,-0.8520908514360862,0.2551225663303976,0.26735580671068027,-0.8472482668737831,0.3831345892384281,-0.6135327188155656,-0.8845688970517714,-1.7638337964026578,-1.1382813453594591,-0.6121629613759004,-1.0780438839705084,-1.081869850362252,0.5017079035639087,-0.8343938292415853,-0.5184195666367717,-0.7594953442267929,-0.400064857340965,0.5800627430082106,-0.467759698522908,-0.3378890667350955,-1.0562763423298942,-1.4955370885494925,-0.1591173368191602,-0.06812721221691552,-0.33476919569619784,-0.8164011245657614,0.1411732668482779,-0.5819278025250681,-0.1816863153664978,-0.7352907271785168,-0.19521608313352418
METAB01_Smpl_11,Case,-0.7347330712871379,-0.09275624534677784,-0.11137252163360807,-0.5266376150735033,0.8102785946256396,-0.238912844308718,-1.3966152502987306,-1.6013813860181032,-1.2203044441363429,-1.4482566027567996,-1.608421532572025,-0.5542721236320702,0.191780169929122,-0.7547627259381526,-1.1444877828955513,-1.5253342279623494,-0.14816125419509002,-1.0299602886985055,-1.5359162336667431,-1.2320178968100675,-0.5990562406575983,-1.214026431576324,-0.6656979827981676,-0.653187183406219,0.08165030104686873,-2.4576826910282135,-0.41017599365042073,-1.5539089328912008,-0.7660971125481502,-0.9917518316193581,-0.4806037675171804
METAB01_Smpl_13,Case,0.117043607520517,0.8289507711209209,0.23565976984294135,-1.099314117572782,2.033301047741051,-3.332522938550975,-0.021737525946639046,-1.4586693697775548,-1.1232742657131145,-1.5098226648044997,-2.398721088838568,-0.7014206357762858,0.7792713079260624,0.9746696368248533,-1.1164092998670812,-0.5681867836606037,-0.08959569045136491,-1.0785929125482592,0.6875124377906967,-0.6042350512959619,-1.0860763782417155,-3.781637684469481,-0.4531685881499855,-1.7839632813119821,0.12428955669435279,-2.8691069197841994,-0.695716696313016,-0.7759719383867894,0.7184907203727388,-0.4545457022500696,-0.6781321465001698
METAB01_Smpl_24,Case,-2.002936728196572,0.24300659923254264,-0.4954422358487636,-0.9329578626023145,-0.9478442919272072,-1.269099483442891,-0.9017763181178773,-1.6150385497578374,-1.098415838066257,-1.3024340706437942,-1.7273437676818342,-1.4246819754232263,0.01187093913111931,-1.6376867975741132,-1.6991242551882069,-0.7513169409342766,-1.220322585846762,-2.046597899622597,-1.1157320968845668,-2.514220567481057,-2.1071447207145506,-2.058880791934114,-0.3449147517988732,-2.1635738443877917,-1.7629009588777174,-2.361651719756651,-0.7854476051857111,-1.8355003455454495,-0.8993996050040824,-1.0420644752830266,-1.3823543156214968
METAB01_Smpl_23,Case,-0.6117539907805684,-0.08461749250438276,0.04143388788594249,-1.5096951633649698,-0.42346668553678996,-1.1202786816367674,-1.0367110522717475,-0.14586697278279978,0.3364510115981069,-1.171705416293399,-0.7491990245170808,0.6136680207515696,1.5111628526803556,0.1902279584447054,-0.7137658531052016,-0.9427847009219081,-0.006582393799552193,-0.959675511359208,-0.8251989063045209,-0.39205865372070114,0.10165502098202525,-1.87060268853284,0.07872773344793443,-1.0013698399404596,-0.7770799482380623,0.8471658520666897,-0.8387478909356434,0.1178377433228914,0.3253483439598818,-0.6286361543557051,-0.6056101658841063
METAB01_Smpl_27,Case,-1.9971418353364467,-0.24544712169075805,-1.0172029765414698,-1.7072050321771843,-0.6692586070503972,-0.9074479432855149,-1.4135466282158637,-0.5245103891004101,-1.5224617440943864,-1.3694991850490394,-0.9871875515319665,-1.9861955416760673,-0.06078699543597247,-1.6458668124269238,-1.4297419508568394,-1.507428487796567,-1.2757124135465558,-1.740218694967257,-0.7259774642140188,-0.7300883677604056,-1.610730709450334,-1.852229882520355,-0.3991747853496833,-1.3602146157324015,-1.421906227250036,-1.9299924410992375,0.24400887425057188,-0.9879664432431624,-0.5955556308823406,-0.8730292095561617,-1.0631404354103149
METAB01_Smpl_28,Case,-1.9157538955939128,0.0941668069716552,-1.7692204120842026,-1.0911340286269358,-0.35899617715105403,-0.8825961829931119,-0.4362337725107794,-2.0860744593756437,-1.1642069676948603,-1.8293878256048177,-0.6701162930020832,-0.7845031014429393,1.361093116875864,-1.464246150005226,-1.5297636083552941,-0.7986263363806313,-1.346008494514031,-0.7520948365415564,-1.9557132174615945,-0.4773236702375194,-1.526269565164873,-1.3944284149658197,0.16448570297782583,-1.3931584148642828,-0.7168889606935781,-1.2042205984679322,0.5358415523265616,-1.293104643684987,-0.2742266368388293,-1.1710181749137536,-1.2622823592002739
