database_identifier,group_type,1-Methyladenosine,2-Pyrrolidinone,3-Indolepropionic acid,3-Methylindole,3-Methylxanthine,4-Aminophenol,5-Hydroxyindoleacetic acid,5-Hydroxy-tryptophan,9-Methyluric acid,Acetaminophen,p-Acetamidophenylglucuronide,Acetic acid,Acetone,AMP,Allantoin,Ketoisovaleric acid,alpha-N-Phenylacetylglutamine,Aniline,Aspartame,Azelaic acid,Benzaldehyde,Benzocaine,Benzoic acid,Cadaverine,Caffeine,Chlorphenamine,trans-Cinnamic acid,cis-Aconitic acid,Cortisol,Creatine,Cytosine,Glycodeoxycholic acid,2-Aminocaprylic acid,Elaidic acid,Ethanolamine,Glucosamine,sn-Glycero-3-phosphocholine,Glycine,Glycocholic acid,Agmatine,Hippuric acid,Homoveratric acid,Hypoxanthine,Indole,Indoleacetic acid,Indolelactic acid,IMP,Isobutyric acid,CAR 4:0;3Me,Kynurenic acid,CAR 2:0,Arginine,Carnitine,Glutamine,Histidine,Kynurenine,Methionine,Norleucine,Phenylalanine,Proline,Tryptophan,Valine,trans-m-Coumaric acid,N-Acetylputrescine,N-Acetylserotonin,Niacinamide,N-Methylhydantoin,Normetanephrine,7-Ketolithocholic acid,o-Tyrosine,Oxaloacetic acid,Oxypurinol,Pantothenic acid,Paracetamol sulfate,Paraxanthine,PC 16:0/16:0,PC 18:1(9Z)/18:1(9Z),Phenylpropiolic acid,Phosphoric acid,Pipecolic acid,Propanal,Pyroglutamic acid,Sepiapterin,Sphingosine,Succinic acid,Succinylacetone,Thyroxine,Trimethylamine,Urea,N-Carbamoylaspartic acid,Uric acid,Uridine
Plasma38-01_44_1_2350,Control,-2.432202371743218,2.1161336431812683,-0.756868091946361,-0.5902436508571193,-1.280546063989398,1.7822497038059315,-0.03311387926944932,-1.232636785843354,-0.8440773930663283,1.6631040051607475,1.3830602461684993,-1.7763161721144602,-0.6495967615195398,0.5929855737732199,0.23159678058031477,-0.5337075354658041,-0.8998372400998057,-0.004686631518828894,-0.39512475104762723,0.2504472677302412,-0.1880741165056129,-0.7480489472534865,-0.8305467633738499,1.0809776069183652,0.3012965217513411,0.7691934381409316,-0.19860560521045564,-1.0648144524289915,0.15079518539020242,-0.9177733626585736,0.5874242908040979,-0.42591815258049154,-0.9533850776231868,0.9287853246373253,-1.4610784930939362,-0.1984307349160889,-0.8144186454338896,2.5086215988153007,0.35665925349712274,-0.2830002494510905,-1.2351677474320513,0.2176621032898751,-1.4104262141927375,-0.4602869144411897,-0.2370385885124443,-0.28413162553281596,-1.1279439532045987,-0.861039748230239,-0.07910870866518935,-1.0002739606331006,0.10349083617405895,-1.1045610657217322,-1.0829877542519573,-1.271643365814132,-1.6772510638988085,0.4072019811654464,-0.47324874889848395,-1.230907471780851,-0.4328223547926691,1.2962907248435889,-0.6188879713232811,-1.3566277603788932,-0.9679293852278802,2.38685609675712,-0.6339507398458368,0.14522332627430862,-0.943828272926083,-1.3919060200157671,0.14893954466255485,1.3738507668851385,-1.4198188012950925,-1.48661392252903,-0.8389808306860265,1.1234334510235342,0.16769924649326523,-2.2757448298417575,-3.488126012920908,-0.6692471209973934,-0.9962137279360288,0.5703305956995088,-1.599092459247886,-0.9277221464348541,-3.180132482624513,-0.7592327559154979,-1.078202649361098,0.2424101005912486,-1.6989888846198644,0.7173101249236207,-1.4054050626536432,1.1481747165216034,-2.220623537847221,-0.32540594671303813
Plasma38-02_44_1_2351,Control,0.1923965363015447,1.777551907513914,-0.5352328410494975,-0.6407998950433426,-1.540798744449404,1.699491996398373,-0.09399901341171517,-1.1145687604637826,-1.45987479537255,1.6696641023932053,1.4226061151416436,-1.2513090001324256,-0.503067701846471,-0.20956679014668056,-0.03887338361024473,-0.4656511488075578,-1.0701759693635293,0.01625281486810046,-0.3572495977397151,0.190343328774291,-0.5156712752538447,-0.6714014012828382,-0.12095052104485168,0.9846261376585813,0.2024339370280651,-0.2072720880445607,-0.8551890560292178,-0.18857872785240562,0.011886940715275261,-1.126674003208922,0.24665784060938833,-0.5153604569621884,-1.1707116854753103,0.004093282225143415,-1.1681665488868078,-0.3871762010665508,-0.6078179790727796,1.9489917223028492,0.3259041978587559,-2.216713498281985,-1.8956019522395764,0.5882753402956857,-2.1483139765465205,-0.4790838366982141,-0.10305761313280253,-0.26330171440097866,-1.1487764664118556,-0.48646919544072054,0.05532991792813502,-0.9635370563993594,-1.380393421631557,-1.2428285558399024,-1.1607310719385304,-1.32420091170429,-1.9155899777829046,0.4965490807328026,-1.2071234360600118,-0.6792938232276411,-0.2052569445248552,1.340976341347112,-0.5194507597880407,0.03577717226999792,0.08019731357689597,1.2971571071512527,-1.0292776285871608,0.010519601583374566,-0.4738196840312628,-1.3689072770638624,-0.6795702141630905,1.3920589357424642,-2.0720266830566096,-0.8465731011565536,-0.7165450953402513,1.123931016978781,0.23868757140852298,-1.6034855967148185,-2.265565681521668,-0.2067315768232462,-0.27935557388961524,-0.211552310293834,-2.526759021260312,-0.9469717775105725,0.9962501638145232,-0.4695582533486924,-1.078202649361098,0.15256139853986675,-0.8728335437505635,0.613331857571096,-5.118048999694412,0.8103812688625294,-1.6813315017595727,-0.7153844524754033
Plasma39-01_45_1_2352,Control,0.6505272205236424,1.179645860038497,0.3237930964832973,0.2546832912202969,-1.5087860614778343,0.36662447882326293,2.1483632796952574,-0.9610353535182481,-0.47267981378919505,0.509512163157732,-0.1672913578434688,-1.3149019326338947,-0.45326363690160404,-1.1607774637878778,-0.161202939207208,0.289254133299102,1.1172265951539404,1.9438063734609359,0.7409180114078776,0.5163963082026424,0.7544846140681122,0.8271474099667638,1.1783430449298893,0.8090856154638342,-1.041325981027004,0.41563638039874484,0.9204019694731096,-0.7457428889101596,-2.587904996331482,0.01919397214224987,1.5899792841738893,-0.5303876136476301,-1.205065423189011,-0.13741800801614887,-0.615123306412823,0.6429628604348545,-1.63264146433095,2.1310220338425405,-0.47613349441218217,0.11304455301629734,-1.8211911017806435,0.9905450233911469,-1.278181326919363,0.11600719772728432,0.7877637679113333,0.973794290125962,-1.3788698669289996,-0.8557642827810286,1.4676044192790345,1.8783806925017295,-0.22477757586933406,0.8811640500979467,0.1449242668609643,1.044827274804709,0.2092571790299695,1.7349039137158688,1.1852329583449297,0.21737644542609863,0.7850906268429695,0.6317131275863129,0.19779730785367877,-0.6973033685051249,1.2174432801837523,1.5733656557396498,1.2384336091316395,-0.4297558220278811,0.5229934484383946,0.5929224961276983,-0.6866394616124095,0.009361882890718163,-0.8771483494743892,0.059832646567546804,-0.2709005803798389,0.7080289391233275,-1.4785731401476159,-0.8568308955050297,-1.7277369896917258,1.270950369194986,9.563541204989788e-05,-0.2410218059395409,-2.5578514037826965,1.0691836615294177,0.5653397360992148,0.8394667019710167,-1.8190049116044662,0.026901826372570922,-0.2617566309418747,1.0306440122881324,-1.023856777787666,-0.2621477212180126,-1.6030658401273727,-1.1645797119878991
Plasma39-02_45_1_2353,Control,0.9365373838706683,0.5784447213832999,0.15516849307445255,0.05701292470131454,-1.2981325938928208,0.37335940420231273,2.142057142065466,-0.9323101118048147,-0.9644821415343721,0.4995726729980938,-0.039143322425856934,-2.2671386023421567,-0.12418646376570013,-0.9033405234541172,0.1776230899082764,0.10929110433018444,1.1465653031619993,1.9931917494209026,0.9023511222539531,0.14411936098464534,0.3061957886724179,1.0751277345577843,1.1022132866360324,1.057283552145387,-1.041325981027004,-0.0007839056344590723,0.7848533876940286,0.21748174456912794,-2.658509168883949,0.1630846539470167,1.6896222628873854,-0.5220600328099105,-2.067998663848445,-0.8032118305290533,-0.8006811981996087,0.6788421259819463,-2.636721686932336,1.9410532555699036,-0.4266539163786194,-1.6266203617645711,-2.6962037965061088,0.7421611427752037,0.43092491977587244,0.018795758221620947,0.7012049360568298,1.0159860324154888,-0.8113330250518639,-1.2509115672771063,1.6415786576959646,1.6837549460907903,-0.12858172774898882,0.8307237364143919,-0.5203927315501422,0.9616616925187476,0.28464000653161514,1.6810082598629832,1.213108949145853,0.09006281232611271,0.787120110023739,0.477969917728783,0.10114487608314887,-0.4620735553083427,1.2826300408615323,0.5163893613754094,0.9214703841357849,-0.6952885079077921,0.29396965386048557,0.3703847319313889,-2.6408628009569926,-0.4030163585058402,-1.6660767339667997,-0.6425052371610432,-0.4093984993811455,0.7811720063749605,-1.4894523560713235,-0.48432048709509967,-1.392727737492015,1.2412833866046342,0.3922830180469802,0.3604485181193841,-1.4985623736906133,1.1178107584516832,0.502859832087146,0.22436349324368807,-1.8132172581299253,-1.893544072949355,-0.12784236229869655,1.1064496605492335,-1.7351921230309526,-0.846559970567315,-1.1213500417012976,-1.3148213750791027
Plasma40-01_46_1_2354,Control,0.823007149724701,-0.34815269755245837,0.346381897250225,0.15972564505475983,-0.6728239326919503,-0.5021445913525232,-0.30604232770778234,-0.484316297511861,-0.5253271262628237,-0.4604346088362917,-1.0470082027428593,-1.1868092118293052,-0.3400350557361422,0.4903802560549429,0.34661706418542043,0.27467417609682643,0.19561944966705644,-0.22605148218243165,0.9182813941067106,-0.8464508617565575,0.5039179652531192,1.0003766834964356,0.3544277728274683,0.09219275570164993,-0.18821238436436205,0.5212576443798296,0.5024973766703098,-0.19084495578184202,-1.1217657331714246,-0.08145969938930933,0.04672339251319856,0.4464251086226691,-1.004946493537698,-2.248594915214055,-0.3688771362274365,0.38915610904051073,-1.5840428461438336,0.2716899263425175,1.0658371710705887,-0.2639700042218077,-0.44417234340319,1.28553066843118,-1.2401107192957186,0.19852341378462537,0.17879968254456124,0.2104762258572184,-0.12485195839111894,-1.6928290116430509,1.1510533152930171,0.008563066312791733,0.37151083057123263,1.0090332020749067,0.08096092495977568,-0.035683799468871034,-0.6134408388080576,-0.4269880119123256,0.5778091536114036,0.6183046229133748,0.6503455535627594,0.9392739070451064,0.13748882659231812,-0.17135588842764543,0.5750979140297628,0.25653587880436385,-0.6638752289733179,-0.47375625589366605,0.4455984800332273,-0.09906864394338366,-2.4286713516408556,-0.8307283895891917,-0.503084941025965,0.1994035235785428,0.032842773172572184,-0.37556496801171685,-0.33105206330741427,-0.10235759436816867,-0.5729741065184445,0.30088310012084285,-0.46831057363161643,0.9785843903532128,-1.6919907237496672,0.035886147916040625,0.8795103768328318,-0.4088177115079154,1.5433428814451395,-1.8303227451222608,0.5210290691467993,-0.577183569191092,-1.8564062722501848,0.13427965186253668,-0.8232602963102353,-0.1034900864996574
Plasma40-02_46_1_2355,Control,1.1638377078659892,0.27965541343632705,-0.37273680288493594,0.2032089091050359,-0.9749051139474533,-0.6685051192578649,0.004188782013239085,-0.4384836939746028,-0.9550836024220744,-0.44210518247270075,-0.745719633701391,-0.688058044276107,-0.29063032983575665,1.2487019493463158,0.33117043219490444,0.2557790705362224,0.0716069940837077,-0.2624475244833491,1.1167817956357324,-0.73120532538947,0.6811166178851774,1.385874979767091,-0.5167079975452666,-0.13119544009720555,-0.17822058366500304,0.5277437612218325,0.6126227713699538,0.4162070334216216,-0.9507326786767307,-0.05310455194767318,0.10014996704845404,0.50285876605516,-0.7179782006870558,-1.1897397154202733,-0.7739003340298988,0.3327221417186585,-1.25248289075658,0.19870079768262536,1.1801942032699513,-0.9877528582231838,-2.300019524990213,1.5717962994254626,0.4768445117206173,0.14043935510289096,0.348645196547142,0.2667964405255171,-0.3202761181155772,-1.7221780300633553,1.214717653489482,0.030695147469963255,1.0233155725234058,1.1923856662274692,0.24288160735253847,0.1431961325876259,-0.5071634232381844,-0.40720533567671263,1.1923389381493328,-0.016503919178847293,0.6099658939807014,0.95766868099091,0.203292710314843,-0.6065033083491559,-1.0970411465412746,0.5178419660632431,0.0879341623059759,-0.24509222256250712,-0.04847181460141183,0.3581299268704224,-1.243634549081457,-0.4085490843235615,-0.7736777764599309,0.6024558512689266,0.11523940196087741,-0.58282186092926,-0.31632266437151185,-0.24661845873424826,-0.04847416660135721,0.08495465201934596,0.2405629844594282,1.476417252480223,-1.2540533162002696,0.13301534263505624,0.928729816645598,0.16612620927798954,1.299256540438795,-1.1380286380829827,0.8089986081659245,-0.6125605979328048,-1.3204738193774082,-0.2889151628980015,-1.7739424100214787,-0.22502678645557908
Plasma41-01_47_1_2356,Control,1.2568652355002043,0.6510858822002111,-0.7428293582233676,0.17783885722475812,-1.177762773288414,2.214262186304553,1.51708859062204,-1.5203988721177752,-0.47140726613018696,2.090892940330254,1.6885131612819515,-0.6090762549010491,-0.5639213219840865,-0.5889140971525886,0.35620621443391626,0.014245210941844175,0.09264061791804683,1.592848960694717,-0.18804927805641786,-0.03253991290300527,0.7885986055831713,-0.12263778087640838,-0.49217515499700043,0.985375096693855,-0.09896593443043808,0.622896925947175,0.544523474230201,0.3339851997539654,0.9052450760676984,0.49393677526542007,0.38230473968775397,1.370243225381904,-0.5406592076343093,-0.35249273942015225,0.16382482172928628,0.18542294115055188,-0.6032725712922967,-0.09439267968829261,2.598452614995789,-1.6569680392216826,-1.83353597727984,1.3902900010641117,-0.9931404142211862,0.11005355328481055,1.2440076654252943,1.1588535015018266,-1.1008787022392135,0.31781534309125564,1.25350139469698,1.1034622856770173,0.8422293388452979,-0.12705587502441076,0.9447906428590434,-0.021379404480316715,0.04992654489684758,2.229111125453884,0.581577306191719,0.1774680143384473,0.5531331162965624,-0.5197139831549973,0.1573943765252591,-0.3975914186301499,0.351256726434309,0.7784760000906592,-0.07395534812764587,-2.1468038749446894,0.3590368185150249,1.1381937297873488,-1.1940551576134308,1.4185735433963957,-0.19265125261227387,-1.66149128944486,-0.4838421621480484,2.0509518665640183,-0.7315063346242132,0.10583903679111796,0.21607914841223624,0.5056167333046623,1.04621651983532,0.19496441516762705,-1.2540533162002696,0.13881527113642317,0.8625337837410414,0.6501868406499627,-0.9133281491622578,-1.0521571935788296,0.3785590446869826,-0.679635225140832,-0.3552216129636117,1.2106156685488036,-1.259910004513354,0.11155224698508052
Plasma41-02_47_1_2357,Control,1.1873978810564194,0.8039997047102491,-0.7428293582233676,0.030683632143648533,-1.1193785433723071,2.201443690151464,1.5369044276759602,-2.3652011306258736,-0.7557218905169687,2.079137355401109,1.632417211809213,-0.6602212888346252,-0.11196655416776459,-0.49031129181985106,0.48013016504203954,0.2429527803013017,0.13951511570414443,1.524523193943586,-0.2813924011341515,0.7177350899564001,0.3045557936168448,-0.5561539370550969,-0.3561955202451559,1.1391328562985317,-0.04011308030143831,0.44819882169188763,0.7931913256154198,0.13711789266350213,0.8863584635724803,0.4332157257161386,0.06571384893666807,1.609655835708237,-0.7179782006870558,0.433752948962385,-0.4042333473342776,0.7805452456029894,-1.241396243134287,-0.41515192114410887,2.717279612768502,-0.10099614583650075,-0.9140731531000885,1.5654674757366467,-1.38291926638907,-0.0038652215738967446,1.420047586109963,1.5645128317600845,-0.7825451693481151,-0.6501526984376323,1.3243681807428487,0.9786542888630918,0.5100042942720047,-0.22987586749733363,0.7720481106691673,-0.19796747688701252,0.3153134914583202,2.1482624203980825,0.4029980806403194,0.21234923421743887,0.8010982677140766,-0.4113253275252466,0.16495892591711805,-0.3765610269844071,-0.1545849349215555,0.556751778795608,-0.2500428977995426,-1.9329615966587141,0.3607354880730523,0.8473155940844309,-1.4067018762144852,1.64727919411871,-0.3132843630790154,-0.7145661330506141,-0.30971382396387814,2.013630702602216,-0.7354523980172989,0.06640691346739903,0.27375867266964016,-0.38444836512623476,0.653847205081854,-0.06492920275699442,-1.8476132275468324,0.07708239067972887,0.8716381590100322,1.0646875519074575,-0.19732169555164972,-1.1758569026770855,0.47162608734575895,-0.6257893242600825,-1.8844246464259258,1.329589988534773,-1.4775121057646972,0.5651336994155645
Plasma42-01_48_1_2368,Control,-0.8557499031862141,1.1516790079917212,0.8788877078066654,0.7634156733798876,1.0348113138405581,-0.5713788888186468,0.0307604217934043,0.2246424125393917,0.7059052656602738,-0.8551633018112518,-0.48568654244887427,-0.30982286076674054,-0.05893263274886542,-0.0734392843218028,0.6361783207349397,0.8120108914495019,0.7555585530216619,0.6222707197847712,0.08246202427344568,0.8738290054122553,0.43878507259531563,0.5072585264097152,0.46288794278122863,1.3432596735226372,0.7616751587779481,0.10356080063134801,0.4337462787497701,0.5457223950965777,-0.34795934581848864,0.31539870178083174,-0.2669676969277061,1.065674736429797,0.23120548216405298,0.3629794011775799,0.3658477387080069,0.3383545155622677,1.1984493398362386,-0.3114663632159231,1.2635399898742168,-1.03666223764381,1.6874035636347724,1.2817495731941926,1.0676137122583869,0.7053996814192901,0.9633397630485908,0.22120575060037917,1.1239111435953701,-0.4167761615251198,0.6129916813483598,-0.31744754624645705,0.24938084965961302,0.6817238372953589,0.3267388496187533,0.7537657178329947,0.5201487194896606,-0.036045620546042365,-0.006425969034697214,0.5746131636825714,0.46015368953754393,0.3874939439549954,0.6182428769633672,0.7887592947687213,0.2794498262399455,0.15474145550091034,0.6268181940430658,0.44428173905254,1.0710565422955607,0.2814068770031342,-1.0217934189027407,-1.5852462121167397,0.09479219472615386,1.1795321511716454,0.6270052672234032,-0.4392280405407627,0.9503849956435437,1.0815965559463836,0.679190484260378,0.8892479678114,1.0981710819689476,-0.5693689735275841,-0.7341909033678415,0.8758340000071633,1.4120953936262841,-0.4486256644669808,0.8042112346982656,-1.3705305256756608,0.8584549691591901,0.5957275401580859,-2.241362251991853,0.33877227096647655,0.9917542190602014,-0.8666367099777078
Plasma42-02_48_1_2369,Control,0.5489935427663684,0.7879759602305406,0.865071794347626,0.585802980514538,1.06952675029986,-0.7714448565865637,0.11737737603299814,0.3236265460994858,0.7859466828669057,-0.8043293772974762,-0.48568654244887427,-0.6193847491629954,-0.20614464045240105,0.9832714937187689,0.7525030558677415,0.8132406389775558,0.9462411626294219,-0.21409093136229038,-0.06123621887664598,0.6265396705115046,0.5416056709876919,-0.18373108206245695,0.17875020756492144,1.1008099803631448,0.7905443866251466,0.37002411385112266,0.4504183172455062,1.01099566067445,-0.5396954950576873,0.1630846539470167,0.21414625074842009,0.792625097526754,0.15021793760834568,-0.436353513708788,0.11922715098495862,0.19788152999922487,1.2912270639776742,-0.7629023766680668,1.0739553177237846,-0.7951860263954919,1.7275181642485065,1.185537867991532,0.995170842915944,0.6645613413074318,0.9943112509539599,0.34594369258624846,1.43926843233866,-0.6998621079132381,0.5639423043404197,-0.4043522738567526,0.7788450601035616,0.6371286381569073,-0.07073834138606772,0.8345156403389565,0.2978116209749126,-0.255578681336872,0.4167024597037482,0.6645532645326586,0.3388748902736183,-0.49937455929793634,0.6431667021390842,0.5064018148191548,0.6187816111637201,0.5221948063982933,0.8732338996423662,0.7204233098121814,0.4106857333669637,0.011387029287938239,-0.8642495146838303,0.13239973160627952,-0.13048873241364237,0.863884164228178,0.7668463748998761,-0.4392280405407627,0.965230249786981,0.5781404688915665,0.7895988080477742,0.3448301606752768,0.6886520871603018,-0.3146189309049342,-0.6510766058443839,0.8713261354723026,1.212515221248513,-0.8009034317989003,1.2186698120754373,-0.592797094829255,0.33395117011777764,0.46982522527794346,0.025666784262547305,-1.1398696455688235,-0.06723068270705451,-1.2314568720126722
